longitude_e4,latitude_e4,start_time,platform_id,resolution_id,band_id,si_value,radiance,reflectance,uncertainty_index,uncertainty_pct
-1066879,266940,201204010545,1,2,21,5763,0.18990201,0.0,0,0.563
-1067071,266921,201204010545,1,2,21,5707,0.18639506,0.0,0,0.563
-1067264,266903,201204010545,1,2,21,5908,0.19898248,0.0,0,0.563
-1067457,266884,201204010545,1,2,21,5980,0.2034914,0.0,0,0.563
-1067667,266864,201204010545,1,2,21,6036,0.20699835,0.0,0,0.563
-1067851,266847,201204010545,1,2,21,6004,0.20499438,0.0,0,0.563
-1068030,266829,201204010545,1,2,21,6157,0.21457586,0.0,0,0.563
-1068208,266812,201204010545,1,2,21,6101,0.21106891,0.0,0,0.563
-1068400,266794,201204010545,1,2,21,6149,0.21407486,0.0,0,0.563
-1068586,266776,201204010545,1,2,21,6173,0.21557784,0.0,0,0.563
-1068775,266757,201204010545,1,2,21,6092,0.21050529,0.0,0,0.563
-1068960,266739,201204010545,1,2,21,6269,0.22158974,0.0,0,0.563
-1069149,266721,201204010545,1,2,21,6205,0.21758181,0.0,0,0.563
-1069340,266703,201204010545,1,2,21,6092,0.21050529,0.0,0,0.563
-1069501,266687,201204010545,1,2,21,6710,0.24920692,0.0,0,0.563
-1069665,266671,201204010545,1,2,21,7359,0.28984988,0.0,0,0.563
-1069818,266656,201204010545,1,2,21,7950,0.32686067,0.0,0,0.563
-1069990,266639,201204010545,1,2,21,8054,0.33337355,0.0,0,0.563
-1070178,266621,201204010545,1,2,21,7974,0.32836363,0.0,0,0.563
-1070362,266603,201204010545,1,2,21,7974,0.32836363,0.0,0,0.563
-1070557,266584,201204010545,1,2,21,7671,0.30938858,0.0,0,0.563
-1070745,266565,201204010545,1,2,21,7631,0.3068836,0.0,0,0.563
-1070926,266547,201204010545,1,2,21,7631,0.3068836,0.0,0,0.563
-1071077,266532,201204010545,1,2,21,8134,0.33838347,0.0,0,0.563
-1071239,266516,201204010545,1,2,21,8517,0.36236846,0.0,0,0.563
-1071448,266496,201204010545,1,2,21,8605,0.36787936,0.0,0,0.563
-1071634,266478,201204010545,1,2,21,8477,0.3598635,0.0,0,0.563
-1071807,266460,201204010545,1,2,21,8509,0.36186746,0.0,0,0.563
-1071985,266443,201204010545,1,2,21,8581,0.3663764,0.0,0,0.563
-1072121,266429,201204010545,1,2,21,8971,0.39079976,0.0,0,0.563
-1072396,266402,201204010545,1,2,21,7839,0.3199094,0.0,0,0.563
-1072521,266390,201204010545,1,2,21,8342,0.35140926,0.0,0,0.563
-1072643,266377,201204010545,1,2,21,8908,0.38685444,0.0,0,0.563
-1072859,266356,201204010545,1,2,21,8174,0.34088844,0.0,0,0.563
-1073059,266336,201204010545,1,2,21,7743,0.3138975,0.0,0,0.563
-1073253,266317,201204010545,1,2,21,7279,0.28483996,0.0,0,0.563
-1073423,266300,201204010545,1,2,21,7167,0.27782607,0.0,0,0.563
-1073590,266283,201204010545,1,2,21,7367,0.29035088,0.0,0,0.563
-1073732,266268,201204010545,1,2,21,8006,0.3303676,0.0,0,0.563
-1073900,266252,201204010545,1,2,21,8549,0.36437243,0.0,0,0.563
-1074080,266233,201204010545,1,2,21,8342,0.35140926,0.0,0,0.563
-1074304,266211,201204010545,1,2,21,7407,0.29285583,0.0,0,0.563
-1074508,266191,201204010545,1,2,21,6638,0.24469799,0.0,0,0.563
-1074662,266175,201204010545,1,2,21,6646,0.24519898,0.0,0,0.563
-1074820,266159,201204010545,1,2,21,6373,0.22810264,0.0,0,0.563
-1074989,266142,201204010545,1,2,21,6526,0.2376841,0.0,0,0.563
-1075142,266126,201204010545,1,2,21,7063,0.2713132,0.0,0,0.563
-1075306,266109,201204010545,1,2,21,7239,0.282335,0.0,0,0.563
-1075458,266094,201204010545,1,2,21,7487,0.29786575,0.0,0,0.563
-1075614,266078,201204010545,1,2,21,7855,0.32091138,0.0,0,0.563
-1075757,266063,201204010545,1,2,21,8278,0.34740132,0.0,0,0.563
-1075906,266048,201204010545,1,2,21,8597,0.36737838,0.0,0,0.563
-1076075,266031,201204010545,1,2,21,8701,0.37389126,0.0,0,0.563
-1076245,266014,201204010545,1,2,21,8549,0.36437243,0.0,0,0.563
-1076436,265994,201204010545,1,2,21,8230,0.34439537,0.0,0,0.563
-1076582,265979,201204010545,1,2,21,8382,0.35391423,0.0,0,0.563
-1076742,265963,201204010545,1,2,21,8270,0.34690034,0.0,0,0.563
-1076946,265942,201204010545,1,2,21,7990,0.3293656,0.0,0,0.563
-1077125,265923,201204010545,1,2,21,7583,0.30387765,0.0,0,0.563
-1077325,265903,201204010545,1,2,21,7023,0.26880822,0.0,0,0.563
-1077498,265885,201204010545,1,2,21,6766,0.25271386,0.0,0,0.563
-1077665,265868,201204010545,1,2,21,6550,0.23918708,0.0,0,0.563
-1077837,265850,201204010545,1,2,21,6389,0.22910462,0.0,0,0.563
-1077988,265834,201204010545,1,2,21,6309,0.2240947,0.0,0,0.563
-1078156,265817,201204010545,1,2,21,6470,0.23417716,0.0,0,0.563
-1078312,265801,201204010545,1,2,21,6365,0.22760165,0.0,0,0.563
-1078457,265786,201204010545,1,2,21,6638,0.24469799,0.0,0,0.563
-1078595,265771,201204010545,1,2,21,6854,0.2582248,0.0,0,0.563
-1078753,265755,201204010545,1,2,21,7023,0.26880822,0.0,0,0.563
-1078908,265739,201204010545,1,2,21,7111,0.27431914,0.0,0,0.563
-1079072,265722,201204010545,1,2,21,7031,0.26930922,0.0,0,0.563
-1079214,265707,201204010545,1,2,21,7231,0.281834,0.0,0,0.563
-1079356,265692,201204010545,1,2,21,7055,0.27081218,0.0,0,0.563
-1079512,265675,201204010545,1,2,21,7055,0.27081218,0.0,0,0.563
-1079671,265659,201204010545,1,2,21,7095,0.27331716,0.0,0,0.563
-1079818,265643,201204010545,1,2,21,7903,0.32391733,0.0,0,0.563
-1079947,265630,201204010545,1,2,21,8006,0.3303676,0.0,0,0.563
-1080132,265610,201204010545,1,2,21,7655,0.3083866,0.0,0,0.563
-1080304,265592,201204010545,1,2,21,7543,0.3013727,0.0,0,0.563
-1080444,265577,201204010545,1,2,21,7727,0.3128955,0.0,0,0.563
